payment_id,trip_id,payment_method,payment_date,amount,payment_status
57,57,apple pay,2023/05/25 22:41:00,20.47,approved
58,58,paypal,2023/01/19 16:55:24,21.46,approved
59,59,debit card,2024/04/08 17:09:48,11.77,approved
60,60,debit card,2023/06/05 14:31:24,25.26,approved
61,61,google pay,2023/01/08 12:21:48,17.83,approved
62,62,debit card,2024/01/06 14:02:36,22.30,approved
63,63,google pay,2023/04/24 14:17:00,16.60,approved
64,64,paypal,2024/05/19 13:33:48,0.00,cancelled
65,65,apple pay,2023/08/25 09:29:00,24.08,approved
66,66,debit card,2024/03/13 07:19:24,36.12,approved
67,67,credit card,2023/11/02 17:38:36,41.54,pending
68,68,apple pay,2023/01/10 22:12:12,10.06,pending
69,69,debit card,2023/10/14 06:50:36,23.82,pending
70,70,debit card,2023/10/14 21:57:48,48.17,approved
71,71,paypal,2023/06/12 16:41:00,43.63,approved
72,72,debit card,2023/08/04 10:41:00,35.35,approved
73,73,debit card,2023/07/31 17:38:36,32.11,approved
74,74,google pay,2024/02/27 19:33:48,26.66,approved
75,75,apple pay,2023/05/09 22:12:12,41.54,approved
76,76,credit card,2023/06/01 07:05:00,16.61,pending
77,77,debit card,2023/01/14 08:17:00,37.57,approved
78,78,debit card,2024/01/20 15:57:48,48.11,pending
79,79,credit card,2024/02/28 21:00:12,24.43,pending
80,80,debit card,2023/06/21 20:17:00,35.12,approved
81,81,credit card,2024/01/07 19:48:12,14.77,approved
82,82,debit card,2023/03/07 10:55:24,12.76,approved
83,83,apple pay,2024/02/11 09:00:12,23.97,approved
84,84,debit card,2024/03/17 17:24:12,46.97,approved
85,85,google pay,2023/08/19 10:26:36,33.63,approved
86,86,debit card,2023/03/24 13:48:12,38.61,approved
87,87,credit card,2023/10/25 09:57:48,13.51,approved
88,88,debit card,2024/03/13 19:48:12,12.60,pending
89,89,apple pay,2024/04/06 10:55:24,12.39,approved
90,90,paypal,2023/09/05 15:43:24,9.40,approved
91,91,apple pay,2023/06/16 21:43:24,39.56,approved
92,92,google pay,2024/03/22 21:43:24,10.26,approved
93,93,google pay,2023/04/19 09:14:36,13.40,approved
94,94,debit card,2023/04/21 11:24:12,13.69,pending
95,95,paypal,2024/01/11 21:43:24,15.81,approved
96,96,credit card,2023/09/15 14:45:48,27.46,pending
97,97,credit card,2023/08/13 21:29:00,9.98,approved
98,98,google pay,2023/10/10 16:41:00,26.06,approved
99,99,paypal,2023/08/04 11:09:48,51.21,approved
100,100,google pay,2023/09/24 11:38:36,49.99,approved
101,101,credit card,2023/04/06 14:17:00,40.18,approved
102,102,apple pay,2024/05/01 08:17:00,28.09,approved
103,103,paypal,2023/09/28 19:48:12,30.44,approved
104,104,credit card,2024/04/09 22:26:36,29.16,approved
105,105,apple pay,2023/01/24 16:26:36,0.00,cancelled
106,106,paypal,2023/11/24 11:24:12,0.00,cancelled
107,107,debit card,2024/01/21 12:07:24,18.56,approved
108,108,credit card,2023/04/03 15:14:36,13.57,approved
109,109,apple pay,2024/01/27 18:50:36,11.36,approved
110,110,google pay,2023/11/16 16:41:00,13.43,approved
111,111,paypal,2023/07/19 07:33:48,12.95,approved
112,112,apple pay,2023/03/20 07:48:12,14.99,approved
113,113,debit card,2023/04/27 20:02:36,28.21,approved
114,114,apple pay,2023/06/14 17:53:00,30.80,approved
115,115,apple pay,2023/04/03 13:33:48,11.87,approved
116,116,apple pay,2024/04/21 10:41:00,23.15,approved
117,117,debit card,2023/01/10 14:17:00,54.42,approved
118,118,debit card,2024/04/25 21:29:00,11.07,approved
119,119,google pay,2023/08/22 10:12:12,26.27,approved
120,120,debit card,2023/01/13 16:41:00,47.61,approved
121,121,paypal,2024/03/18 18:21:48,10.62,approved
122,122,paypal,2023/06/16 08:02:36,22.33,approved
123,123,credit card,2023/11/09 19:48:12,30.99,approved
124,124,apple pay,2023/12/21 10:12:12,19.74,approved
125,125,apple pay,2023/06/01 13:05:00,12.27,approved
126,126,credit card,2023/11/19 14:17:00,14.27,approved
127,127,google pay,2023/05/20 08:45:48,29.42,approved
128,128,credit card,2024/02/24 06:50:36,18.54,approved
129,129,paypal,2023/11/26 18:07:24,29.11,approved
130,130,google pay,2023/08/09 09:14:36,20.93,approved
131,131,credit card,2023/10/23 09:57:48,36.54,approved
132,132,google pay,2024/03/31 18:21:48,0.00,cancelled
133,133,google pay,2024/04/13 19:33:48,42.96,approved
134,134,google pay,2024/03/05 21:43:24,30.22,pending
135,135,apple pay,2023/12/30 09:00:12,22.09,approved
136,136,google pay,2023/10/27 22:12:12,26.55,approved
137,137,apple pay,2023/08/11 13:05:00,20.81,approved
138,138,credit card,2023/09/29 22:26:36,31.83,pending
139,139,apple pay,2023/10/26 13:05:00,28.09,approved
140,140,credit card,2023/10/02 20:02:36,34.57,approved
141,141,apple pay,2023/09/23 16:41:00,26.02,pending
142,142,credit card,2023/11/15 07:48:12,22.10,pending
143,143,debit card,2023/04/24 07:33:48,24.54,approved
144,144,google pay,2023/05/19 19:05:00,40.25,pending
145,145,apple pay,2023/12/05 14:31:24,32.95,approved
146,146,google pay,2024/05/14 21:00:12,17.28,pending
147,147,debit card,2023/01/17 10:41:00,37.35,approved
148,148,paypal,2023/10/19 18:50:36,46.23,pending
149,149,debit card,2023/11/25 14:17:00,20.26,pending
150,150,google pay,2023/12/25 13:48:12,28.04,approved
151,151,debit card,2023/03/10 14:45:48,33.21,pending
152,152,credit card,2023/02/15 18:21:48,12.41,approved
153,153,google pay,2024/05/03 14:17:00,38.36,pending
154,154,paypal,2024/04/22 11:09:48,17.53,approved
155,155,apple pay,2023/12/03 09:14:36,49.88,approved
156,156,credit card,2024/02/29 11:53:00,25.00,approved
157,157,paypal,2024/05/24 09:14:36,28.09,approved
158,158,apple pay,2023/05/22 20:31:24,41.52,pending
159,159,credit card,2024/04/23 12:50:36,16.60,pending
160,160,apple pay,2023/06/19 11:24:12,39.91,pending
161,161,credit card,2023/01/05 21:14:36,7.66,approved
162,162,debit card,2023/03/23 14:17:00,28.14,pending
163,163,paypal,2023/10/23 07:33:48,23.08,approved
164,164,credit card,2023/06/24 07:48:12,40.20,approved
165,165,paypal,2023/01/02 22:26:36,22.88,pending
166,166,debit card,2023/01/05 09:57:48,21.52,approved
167,167,credit card,2024/02/16 22:26:36,23.78,pending
168,168,paypal,2024/01/30 19:19:24,9.25,pending
169,169,google pay,2024/01/05 22:41:00,25.53,pending
170,170,credit card,2023/09/23 12:50:36,22.53,pending
171,171,debit card,2024/05/05 09:43:24,24.97,approved
172,172,google pay,2023/10/29 11:24:12,20.94,pending
173,173,apple pay,2023/08/21 10:41:00,15.10,approved
174,174,credit card,2023/07/13 07:19:24,11.32,approved
175,175,google pay,2024/01/05 18:07:24,12.82,pending
176,176,google pay,2023/10/26 18:07:24,21.97,pending
177,177,paypal,2024/03/16 11:24:12,23.64,approved
178,178,google pay,2023/03/17 13:05:00,19.91,pending
179,179,apple pay,2023/11/12 15:57:48,0.00,cancelled
180,180,debit card,2023/02/04 09:43:24,45.22,approved
181,181,credit card,2023/01/09 19:33:48,25.44,approved
182,182,credit card,2023/02/27 13:05:00,37.24,approved
183,183,paypal,2023/03/06 10:55:24,18.35,approved
184,184,paypal,2023/10/15 22:41:00,18.55,approved
185,185,apple pay,2023/08/09 09:00:12,55.95,pending
186,186,apple pay,2023/10/11 13:19:24,22.12,approved
187,187,google pay,2024/05/20 17:24:12,45.04,pending
188,188,google pay,2023/06/29 15:57:48,21.90,pending
189,189,google pay,2023/02/20 17:53:00,35.41,pending
190,190,debit card,2023/06/17 17:24:12,6.25,pending
191,191,paypal,2023/05/01 09:14:36,24.83,pending
192,192,debit card,2023/07/08 07:48:12,12.93,approved
193,193,apple pay,2024/02/11 13:05:00,47.42,approved
194,194,google pay,2023/07/31 06:50:36,12.01,approved
195,195,paypal,2024/03/01 13:19:24,56.84,approved
196,196,apple pay,2023/05/24 13:33:48,53.39,approved
197,197,credit card,2024/04/22 10:12:12,19.43,approved
198,198,paypal,2023/04/25 21:43:24,23.96,pending
199,199,paypal,2024/03/13 21:14:36,33.07,pending
200,200,apple pay,2023/11/09 19:48:12,28.68,approved
201,201,debit card,2023/10/24 15:14:36,18.86,approved
202,202,credit card,2023/04/05 16:12:12,9.96,approved
203,203,debit card,2023/05/14 17:24:12,25.74,pending
204,204,paypal,2023/03/29 22:12:12,30.02,approved
205,205,apple pay,2023/04/10 15:00:12,17.30,pending
206,206,debit card,2023/03/18 11:09:48,39.26,approved
207,207,debit card,2023/12/06 15:14:36,25.51,pending
208,208,paypal,2024/02/09 19:48:12,15.92,pending
209,209,credit card,2023/08/23 18:21:48,42.67,approved
210,210,paypal,2023/06/17 16:41:00,16.62,pending
211,211,credit card,2024/01/07 17:24:12,16.14,pending
212,212,paypal,2023/08/23 17:09:48,12.12,approved
213,213,paypal,2023/06/21 19:33:48,11.70,approved
214,214,debit card,2023/10/23 08:17:00,28.10,pending
215,215,apple pay,2023/02/17 10:55:24,22.73,approved
216,216,debit card,2023/05/28 09:57:48,15.98,pending
217,217,credit card,2023/01/08 22:12:12,20.15,pending
218,218,debit card,2023/12/05 22:26:36,31.74,approved
219,219,paypal,2023/10/31 20:02:36,32.99,pending
220,220,credit card,2023/02/08 17:24:12,9.47,approved
221,221,google pay,2023/11/25 10:55:24,19.06,approved
222,222,credit card,2023/06/13 11:38:36,42.95,pending
223,223,google pay,2023/11/06 16:55:24,9.54,approved
224,224,google pay,2023/01/22 18:36:12,22.98,pending
225,225,credit card,2023/09/21 19:33:48,17.37,pending
226,226,debit card,2023/03/17 20:17:00,21.46,pending
227,227,paypal,2024/04/01 14:31:24,57.09,approved
228,228,apple pay,2024/01/04 09:14:36,33.09,pending
229,229,paypal,2023/07/26 18:07:24,26.67,pending
230,230,google pay,2023/01/21 19:48:12,20.90,pending
231,231,paypal,2023/12/04 08:17:00,24.66,approved
232,232,credit card,2023/03/19 09:57:48,22.91,pending
233,233,google pay,2023/01/16 15:43:24,20.89,pending
234,234,debit card,2023/12/15 19:05:00,33.90,approved
235,235,credit card,2023/02/15 22:26:36,24.55,approved
236,236,credit card,2023/03/22 10:55:24,15.16,approved
237,237,paypal,2023/07/23 11:09:48,22.10,approved
238,238,apple pay,2024/02/10 12:36:12,33.07,approved
239,239,apple pay,2024/03/04 09:29:00,22.11,approved
240,240,apple pay,2024/01/27 20:45:48,50.94,approved
241,241,credit card,2023/02/01 20:17:00,0.00,cancelled
242,242,google pay,2023/07/01 15:14:36,7.57,pending
243,243,paypal,2023/01/10 11:53:00,20.60,pending
244,244,credit card,2023/09/17 13:05:00,8.73,approved
245,245,google pay,2024/04/13 14:02:36,35.43,pending
246,246,google pay,2023/01/16 17:09:48,25.67,pending
247,247,credit card,2023/04/28 16:12:12,23.18,approved
248,248,debit card,2024/05/14 18:21:48,29.37,pending
249,249,apple pay,2024/04/01 13:05:00,15.25,pending
250,250,apple pay,2023/01/03 21:14:36,19.45,approved
251,251,debit card,2023/02/17 22:41:00,12.36,pending
252,252,credit card,2024/04/11 11:53:00,24.88,approved
253,253,apple pay,2024/04/15 07:19:24,22.14,approved
254,254,credit card,2023/02/26 09:57:48,0.00,cancelled
255,255,paypal,2024/02/20 21:43:24,23.31,pending
256,256,google pay,2023/01/10 21:43:24,21.37,approved
257,257,apple pay,2023/12/27 16:55:24,20.21,pending
258,258,paypal,2023/08/01 21:00:12,26.69,pending
259,259,paypal,2023/01/15 20:45:48,26.91,approved
260,260,apple pay,2023/03/02 11:09:48,12.86,approved
261,261,debit card,2023/09/09 18:50:36,8.91,pending
262,262,google pay,2023/06/04 20:02:36,32.96,approved
263,263,debit card,2023/12/25 06:50:36,23.76,approved
264,264,google pay,2024/04/30 12:50:36,25.91,pending
265,265,paypal,2024/01/25 18:50:36,49.77,pending
266,266,credit card,2023/02/05 18:50:36,10.69,approved
267,267,credit card,2023/03/25 22:41:00,14.09,pending
268,268,apple pay,2024/03/11 16:12:12,0.00,cancelled
269,269,credit card,2023/11/19 09:00:12,23.69,pending
270,270,credit card,2023/10/14 16:26:36,16.39,pending
271,271,google pay,2023/02/08 14:17:00,40.14,pending
272,272,credit card,2023/07/12 19:48:12,20.91,approved
273,273,google pay,2023/05/10 07:19:24,28.62,pending
274,274,debit card,2024/05/18 14:31:24,35.62,pending
275,275,credit card,2023/04/06 20:02:36,9.60,pending
276,276,credit card,2023/01/18 17:09:48,26.62,approved
277,277,google pay,2023/01/24 09:00:12,17.51,approved
278,278,google pay,2023/10/19 10:26:36,18.87,approved
279,279,paypal,2023/12/15 16:12:12,8.76,approved
280,280,google pay,2024/03/19 14:45:48,28.08,approved
281,281,apple pay,2023/12/29 09:00:12,19.72,approved
282,282,debit card,2023/07/15 17:53:00,44.86,approved
283,283,debit card,2023/05/02 12:36:12,0.00,cancelled
284,284,google pay,2024/01/07 08:45:48,25.88,pending
285,285,google pay,2024/05/22 09:29:00,34.21,approved
286,286,credit card,2023/12/01 20:31:24,42.53,approved
287,287,debit card,2023/08/25 08:31:24,35.68,pending
288,288,debit card,2023/12/09 12:36:12,30.32,approved
289,289,apple pay,2023/01/03 17:09:48,29.27,approved
290,290,credit card,2023/08/06 15:57:48,31.17,pending
291,291,credit card,2024/04/11 20:31:24,26.88,approved
292,292,debit card,2024/01/19 19:33:48,54.42,pending
293,293,google pay,2023/01/18 07:33:48,9.46,approved
294,294,apple pay,2023/03/11 12:36:12,25.85,approved
295,295,debit card,2024/01/18 12:36:12,28.64,approved
296,296,debit card,2024/04/05 12:36:12,48.53,approved
297,297,paypal,2024/01/13 22:12:12,25.41,approved
298,298,debit card,2023/07/04 15:43:24,21.97,approved
299,299,paypal,2024/02/03 09:57:48,40.94,approved
300,300,credit card,2023/06/21 12:07:24,32.85,approved
301,301,paypal,2023/12/05 09:43:24,11.27,approved
302,302,google pay,2024/03/30 12:50:36,29.37,approved
303,303,credit card,2023/09/19 16:26:36,35.45,approved
304,304,google pay,2023/10/24 16:41:00,28.09,approved
305,305,debit card,2023/01/04 19:05:00,35.26,approved
306,306,credit card,2023/04/15 07:48:12,23.74,approved
307,307,apple pay,2023/12/17 18:21:48,26.20,approved
308,308,apple pay,2023/11/16 14:45:48,12.14,approved
309,309,debit card,2024/05/05 20:02:36,8.19,pending
310,310,google pay,2023/06/27 14:02:36,15.70,approved
311,311,debit card,2023/01/27 12:07:24,25.66,approved
312,312,debit card,2024/01/07 12:50:36,24.67,approved
313,313,paypal,2023/02/08 18:07:24,18.54,pending
314,314,google pay,2024/03/14 09:00:12,49.74,approved
315,315,google pay,2023/09/12 08:17:00,34.06,pending
316,316,paypal,2023/03/06 09:14:36,55.83,approved
317,317,credit card,2023/11/12 09:57:48,36.58,pending
318,318,debit card,2023/10/19 11:53:00,14.82,approved
319,319,apple pay,2023/06/28 18:07:24,27.48,pending
320,320,debit card,2023/05/31 15:14:36,12.92,approved
321,321,paypal,2024/04/20 18:50:36,12.54,pending
322,322,credit card,2024/03/16 11:38:36,24.26,approved
323,323,apple pay,2023/08/02 20:02:36,39.22,approved
324,324,google pay,2023/06/01 10:55:24,26.08,pending
325,325,apple pay,2023/01/02 16:55:24,23.90,approved
326,326,paypal,2024/04/25 16:55:24,26.54,approved
327,327,apple pay,2024/02/28 20:45:48,0.00,cancelled
328,328,debit card,2023/11/30 07:33:48,15.81,approved
329,329,paypal,2023/11/26 10:26:36,31.16,approved
330,330,google pay,2023/05/06 20:02:36,11.94,approved
331,331,credit card,2023/01/24 09:43:24,24.88,approved
332,332,credit card,2024/04/07 15:57:48,13.04,approved
333,333,debit card,2023/05/29 12:50:36,23.14,approved
334,334,google pay,2023/08/20 13:05:00,20.00,approved
335,335,debit card,2023/09/19 22:26:36,30.36,approved
336,336,google pay,2023/05/29 17:24:12,23.52,pending
337,337,paypal,2023/01/12 16:26:36,15.68,pending
338,338,apple pay,2023/06/27 08:45:48,0.00,cancelled
339,339,credit card,2023/11/19 16:26:36,27.09,approved
340,340,credit card,2023/10/12 22:12:12,24.21,pending
341,341,apple pay,2024/04/08 19:48:12,18.78,pending
342,342,google pay,2023/11/10 19:19:24,18.98,approved
343,343,paypal,2024/02/20 14:31:24,7.69,pending
344,344,google pay,2023/06/22 17:24:12,11.25,pending
345,345,apple pay,2023/09/13 19:05:00,20.27,approved
346,346,credit card,2023/12/04 09:00:12,19.23,pending
347,347,paypal,2023/03/23 06:50:36,11.42,approved
348,348,credit card,2023/06/22 19:48:12,42.73,approved
349,349,apple pay,2023/01/03 21:43:24,18.42,pending
350,350,debit card,2023/07/14 07:48:12,36.78,pending
351,351,debit card,2023/08/04 10:41:00,51.18,pending
352,352,debit card,2023/02/05 13:33:48,42.71,approved
353,353,debit card,2023/07/03 21:57:48,20.12,pending
354,354,google pay,2023/01/06 21:00:12,17.60,approved
355,355,paypal,2024/05/03 20:45:48,40.11,approved
356,356,credit card,2023/02/27 07:05:00,16.65,pending
357,357,apple pay,2024/02/20 11:38:36,23.19,pending
358,358,debit card,2023/11/02 22:12:12,38.87,pending
359,359,credit card,2023/07/20 18:21:48,36.83,approved
360,360,apple pay,2024/02/23 15:29:00,12.68,approved
361,361,debit card,2023/03/30 10:26:36,18.59,approved
362,362,debit card,2023/02/06 09:57:48,24.54,approved
363,363,credit card,2024/02/25 11:24:12,26.87,pending
364,364,apple pay,2024/01/09 08:17:00,41.94,approved
365,365,google pay,2023/02/18 11:09:48,22.02,pending
366,366,debit card,2023/10/31 18:36:12,27.54,approved
367,367,google pay,2024/04/24 11:53:00,27.16,pending
368,368,apple pay,2023/07/25 17:24:12,23.05,approved
369,369,google pay,2023/11/11 11:09:48,13.88,pending
370,370,google pay,2023/05/26 15:57:48,38.35,pending
371,371,paypal,2023/02/07 17:09:48,11.17,approved
372,372,credit card,2024/05/03 19:19:24,25.76,approved
373,373,paypal,2023/12/02 18:21:48,48.69,pending
374,374,credit card,2023/02/17 20:17:00,38.40,pending
375,375,google pay,2023/10/13 19:05:00,15.88,approved
376,376,apple pay,2023/04/08 12:07:24,47.47,pending
377,377,google pay,2024/02/03 13:19:24,50.03,approved
378,378,google pay,2023/01/02 11:38:36,23.11,pending
379,379,credit card,2023/01/17 22:41:00,41.38,approved
380,380,apple pay,2024/04/01 22:26:36,15.03,approved
381,381,credit card,2023/05/21 22:26:36,12.40,pending
382,382,google pay,2024/02/27 14:17:00,27.61,approved
383,383,apple pay,2024/01/13 15:00:12,27.86,pending
384,384,apple pay,2024/03/15 15:29:00,29.61,pending
385,385,debit card,2023/02/16 21:57:48,24.47,pending
386,386,debit card,2023/12/13 11:53:00,18.83,approved
387,387,paypal,2023/11/16 20:31:24,37.21,approved
388,388,apple pay,2023/12/22 12:21:48,21.35,pending
389,389,paypal,2023/02/11 09:57:48,19.71,pending
390,390,google pay,2023/05/18 15:14:36,16.72,approved
391,391,credit card,2023/01/18 08:02:36,17.51,pending
392,392,paypal,2023/12/08 14:31:24,22.06,pending
393,393,google pay,2023/03/21 09:14:36,34.12,approved
394,394,google pay,2024/01/18 14:45:48,24.98,approved
395,395,debit card,2024/01/25 18:07:24,56.00,approved
396,396,debit card,2023/01/10 09:57:48,10.27,approved
397,397,debit card,2023/02/03 09:14:36,26.76,approved
398,398,debit card,2024/02/16 19:19:24,35.50,approved
399,399,paypal,2023/07/07 20:31:24,9.58,approved
400,400,paypal,2023/11/23 20:17:00,26.01,approved
401,401,credit card,2023/11/19 11:38:36,19.34,approved
402,402,credit card,2023/07/29 12:36:12,30.34,approved
403,403,apple pay,2023/01/25 13:05:00,35.40,approved
404,404,google pay,2023/02/10 20:31:24,35.51,approved
405,405,debit card,2023/01/10 07:33:48,14.83,approved
406,406,google pay,2023/08/02 09:57:48,28.35,approved
407,407,credit card,2024/04/26 13:33:48,23.34,approved
408,408,google pay,2023/12/13 08:31:24,12.64,approved
409,409,apple pay,2023/01/26 12:21:48,7.02,approved
410,410,paypal,2023/09/24 16:55:24,15.61,approved
411,411,google pay,2023/04/28 14:31:24,19.50,approved
412,412,debit card,2023/12/23 15:57:48,14.27,approved
413,413,debit card,2024/02/10 15:43:24,36.84,approved
414,414,paypal,2024/01/08 19:48:12,35.43,approved
415,415,paypal,2023/01/15 18:21:48,18.88,approved
416,416,paypal,2023/08/11 09:57:48,19.58,approved
417,417,credit card,2023/05/01 08:31:24,13.86,approved
418,418,credit card,2023/09/28 20:45:48,46.42,approved
419,419,apple pay,2023/01/20 09:43:24,16.00,approved
420,420,apple pay,2023/07/25 18:07:24,35.41,approved
421,421,google pay,2023/05/26 22:12:12,19.62,approved
422,422,debit card,2023/12/07 19:48:12,19.69,approved
423,423,apple pay,2023/11/25 19:05:00,13.10,approved
424,424,google pay,2024/04/05 10:55:24,0.00,cancelled
425,425,debit card,2023/05/14 07:05:00,25.53,approved
426,426,debit card,2023/04/10 20:02:36,25.77,approved
427,427,credit card,2023/04/23 16:12:12,11.79,pending
428,428,apple pay,2023/10/31 12:07:24,35.26,approved
429,429,debit card,2024/01/04 12:07:24,12.15,approved
430,430,paypal,2024/05/23 16:41:00,23.88,pending
431,431,apple pay,2024/04/30 18:36:12,20.20,approved
432,432,paypal,2023/03/23 19:05:00,24.73,pending
433,433,paypal,2023/07/20 17:38:36,11.89,pending
434,434,google pay,2023/10/23 10:41:00,19.72,approved
435,435,debit card,2024/05/19 11:09:48,35.23,approved
436,436,credit card,2024/03/02 10:55:24,24.82,approved
437,437,credit card,2024/05/24 07:05:00,18.76,pending
438,438,paypal,2024/02/10 22:12:12,8.29,pending
439,439,debit card,2023/10/13 08:02:36,28.57,pending
440,440,credit card,2023/10/27 14:31:24,12.81,pending
441,441,google pay,2023/05/23 19:05:00,10.59,approved
442,442,paypal,2023/04/13 16:41:00,10.55,pending
443,443,debit card,2023/07/15 11:53:00,41.10,approved
444,444,paypal,2023/12/20 22:41:00,9.82,approved
445,445,apple pay,2023/04/29 14:45:48,23.01,approved
446,446,google pay,2023/07/22 20:31:24,16.70,pending
447,447,apple pay,2023/06/15 11:09:48,27.13,pending
448,448,google pay,2023/09/02 13:19:24,15.88,approved
449,449,apple pay,2024/04/23 12:21:48,15.05,pending
450,450,credit card,2024/04/09 16:55:24,40.17,pending
451,451,paypal,2023/01/06 21:43:24,39.22,approved
452,452,debit card,2023/01/30 07:19:24,28.41,approved
453,453,debit card,2023/03/20 08:02:36,35.61,pending
454,454,apple pay,2023/05/04 15:00:12,50.98,approved
455,455,google pay,2023/01/21 13:33:48,11.23,approved
456,456,google pay,2023/09/25 21:14:36,15.89,approved
457,457,apple pay,2023/08/04 13:33:48,48.57,pending
458,458,paypal,2023/02/19 07:05:00,29.20,approved
459,459,paypal,2024/05/05 07:33:48,23.92,approved
460,460,debit card,2023/04/01 11:38:36,32.90,approved
461,461,paypal,2024/03/21 14:31:24,21.22,pending
462,462,debit card,2023/07/07 17:24:12,8.03,approved
463,463,debit card,2024/05/25 20:02:36,27.48,pending
464,464,google pay,2023/02/20 21:29:00,24.73,pending
465,465,apple pay,2024/03/31 16:26:36,18.56,approved
466,466,debit card,2023/01/09 14:17:00,15.02,approved
467,467,google pay,2024/03/21 19:19:24,37.39,pending
468,468,google pay,2023/06/20 06:50:36,10.44,approved
469,469,paypal,2023/06/06 08:45:48,22.15,approved
470,470,google pay,2023/10/13 11:24:12,35.61,approved
471,471,debit card,2023/09/13 14:02:36,51.02,pending
472,472,credit card,2023/06/25 09:00:12,33.01,pending
473,473,debit card,2024/03/20 12:21:48,57.21,pending
474,474,google pay,2023/01/07 08:17:00,41.23,approved
475,475,credit card,2023/10/14 07:48:12,42.71,approved
476,476,google pay,2023/11/03 21:43:24,26.44,approved
477,477,apple pay,2023/07/29 14:45:48,7.72,pending
478,478,paypal,2024/05/13 09:14:36,0.00,cancelled
479,479,credit card,2023/03/22 07:05:00,6.23,pending
480,480,paypal,2024/01/03 15:43:24,41.44,approved
481,481,credit card,2023/04/07 20:45:48,23.21,pending
482,482,paypal,2023/04/27 19:19:24,49.83,approved
483,483,debit card,2023/07/14 11:09:48,10.60,approved
484,484,apple pay,2023/07/01 07:05:00,43.83,approved
485,485,apple pay,2023/03/09 20:31:24,54.78,approved
486,486,paypal,2024/03/07 12:50:36,17.80,approved
487,487,apple pay,2023/10/30 18:07:24,32.98,pending
488,488,paypal,2023/12/11 09:14:36,35.53,approved
489,489,credit card,2024/04/21 13:48:12,28.09,pending
490,490,debit card,2023/03/13 14:02:36,42.52,pending
491,491,apple pay,2023/08/22 10:41:00,32.97,pending
492,492,google pay,2023/08/05 06:50:36,38.10,approved
493,493,google pay,2023/05/22 09:14:36,31.80,approved
